# 3D FFT, real<->complex, out-of-place, r1931, SR16000
#node it.  Lx     Ly     Lz        N      place  th. proc.     t_plan   t_prep   t_itr0   t_calc  GFLOPS
 8   10   4096   4096   4096     68719476736 F    1  256       29.380    0.430   57.910  251.410   492.005
16   10   4096   4096   4096     68719476736 F    1  512        9.620    0.220   88.410  177.900   695.307
32   10   4096   4096   4096     68719476736 F    1 1024        9.100    0.110   25.630   86.880  1423.746
64   10   4096   4096   4096     68719476736 F    1 2048        7.730    0.060   21.210   46.130  2681.445
