#  it.    Lx     Ly     Lz        N      place  th. proc.     t_plan   t_prep   t_dmmy   t_calc  GFLOPS
    20   4096   4096   4096     68719476736 T    1 4096       17.732    0.076  118.428  141.576  1747.402
    40   4096   4096   4096     68719476736 T    1 4096       17.630    0.076  135.828  281.888  1755.237
   100   4096   4096   4096     68719476736 T    1 4096       17.339    0.076  123.954  721.761  1713.795
   200   4096   4096   4096     68719476736 T    1 4096       17.476    0.076  117.935 1432.347  1727.166
    20   4096   4096   4096     68719476736 F    1 4096       13.562    0.079  129.849  154.535  1600.868
    40   4096   4096   4096     68719476736 F    1 4096       13.495    0.078  107.353  309.825  1596.967
   100   4096   4096   4096     68719476736 F    1 4096       13.525    0.078  124.658  773.751  1598.642
   200   4096   4096   4096     68719476736 F    1 4096       13.598    0.078  116.296 1573.002  1572.726
