# 3D FFT, real<->complex, out-of-place, r1931, SR16000
#node it.  Lx     Ly     Lz        N      place  th. proc.     t_plan   t_prep   t_itr0   t_calc  GFLOPS
 2  100   1024   1024   1024      1073741824 F    1   64        5.420    0.030    3.540  115.940   138.918
 4  100   1024   1024   1024      1073741824 F    1  128        1.510    0.010    6.940   57.890   278.220
 8  100   1024   1024   1024      1073741824 F    1  256        0.940    0.000    3.270   29.640   543.392
16  100   1024   1024   1024      1073741824 F    1  512        0.860    0.010    2.740   19.360   831.928
32  100   1024   1024   1024      1073741824 F    1 1024        3.060    0.010    0.080    8.850  1819.901
