#  it.    Lx     Ly     Lz        N      place  th. proc.     t_plan   t_prep   t_dmmy   t_calc  GFLOPS
    20   1024   1024   1024      1073741824 T    1  512        2.662    0.010   11.971    8.786   366.632
    40   1024   1024   1024      1073741824 T    1  512        2.640    0.010   14.628   17.775   362.444
   100   1024   1024   1024      1073741824 T    1  512        2.635    0.009   17.862   44.291   363.643
   200   1024   1024   1024      1073741824 T    1  512        2.632    0.009   11.499   89.810   358.671
    20   1024   1024   1024      1073741824 F    1  512        2.169    0.008   12.923    9.290   346.741
    40   1024   1024   1024      1073741824 F    1  512        2.222    0.009   12.585   18.671   345.051
   100   1024   1024   1024      1073741824 F    1  512        2.171    0.009   14.320   45.903   350.873
   200   1024   1024   1024      1073741824 F    1  512        2.170    0.008   10.069   93.279   345.332
    20   2048   2048   2048      8589934592 T    1  512       11.259    0.078   23.493   76.557   370.270
    40   2048   2048   2048      8589934592 T    1  512       11.308    0.078   23.211  151.211   374.930
    20   2048   2048   2048      8589934592 F    1  512        6.850    0.077   23.219   78.817   359.653
    40   2048   2048   2048      8589934592 F    1  512        6.828    0.077   22.246  155.787   363.917
    20   2560   2560   2560     16777216000 T    1  512       23.421    0.152   39.022  149.164   382.030
    40   2560   2560   2560     16777216000 T    1  512       23.415    0.153   38.751  294.353   387.189
    20   2560   2560   2560     16777216000 F    1  512       16.476    0.149   40.130  154.403   369.068
    40   2560   2560   2560     16777216000 F    1  512       16.471    0.152   40.086  311.305   366.105
