#  it.    Lx     Ly     Lz        N      place  th. proc.     t_plan   t_prep   t_dmmy   t_calc  GFLOPS
    20   4000   4000   4000     64000000000 T    1 4000       16.825    0.074  115.795   92.973  2471.073
    40   4000   4000   4000     64000000000 T    1 4000       16.837    0.074  103.925  188.971  2431.517
   100   4000   4000   4000     64000000000 T    1 4000       16.774    0.074   97.063  468.474  2452.036
   200   4000   4000   4000     64000000000 T    1 4000       16.821    0.075   89.845  924.558  2484.896
    20   4000   4000   4000     64000000000 F    1 4000       13.361    0.073  109.514  102.531  2240.718
    40   4000   4000   4000     64000000000 F    1 4000       13.377    0.074   86.755  208.452  2204.278
   100   4000   4000   4000     64000000000 F    1 4000       13.355    0.074   94.513  524.350  2190.741
   200   4000   4000   4000     64000000000 F    1 4000       13.349    0.073  115.018 1038.677  2211.882
