#  it.    Lx     Ly     Lz        N      place  th. proc.     t_plan   t_prep   t_dmmy   t_calc  GFLOPS
    20   1024   1024   1024      1073741824 T    1  256        3.522    0.019    6.541   16.434   196.010
    40   1024   1024   1024      1073741824 T    1  256        3.517    0.019    5.839   32.686   197.101
    20   1024   1024   1024      1073741824 F    1  256        2.584    0.019    5.957   17.053   188.895
    40   1024   1024   1024      1073741824 F    1  256        2.620    0.018    6.017   34.253   188.084
    20   1280   1280   1280      2097152000 T    1  256        8.263    0.038    8.970   27.818   233.446
    40   1280   1280   1280      2097152000 T    1  256        8.263    0.038    8.906   57.438   226.122
    20   1280   1280   1280      2097152000 F    1  256        6.353    0.038    9.151   32.569   199.392
    40   1280   1280   1280      2097152000 F    1  256        6.333    0.037    9.369   64.874   200.203
    10   2048   2048   2048      8589934592 T    1  256       17.297    0.157   35.453   70.990   199.653
    20   2048   2048   2048      8589934592 T    1  256       17.234    0.157   35.400  142.026   199.589
    10   2048   2048   2048      8589934592 F    1  256       10.281    0.157   34.024   66.793   212.199
    20   2048   2048   2048      8589934592 F    1  256       10.311    0.156   36.993  149.015   190.228
    10   2560   2560   2560     16777216000 T    1  256       45.628    0.303   69.261  139.013   204.963
    20   2560   2560   2560     16777216000 T    1  256       45.706    0.306   68.268  274.573   207.541
