# htcf10c04p08
#  it.    Lx     Ly     Lz        N      place  th. proc.     t_plan   t_prep   t_itr0   t_calc  GFLOPS
   100   1024   1024   1024      1073741824 T    1  512        0.970    0.000    2.520   18.690   861.751
   200   1024   1024   1024      1073741824 T    1  512        0.960    0.000    2.170   37.880   850.376
   100   1024   1024   1024      1073741824 F    1  512        0.700    0.000    3.460   18.950   849.928
   200   1024   1024   1024      1073741824 F    1  512        0.730    0.000    3.510   38.110   845.244
    50   2048   2048   2048      8589934592 T    1  512        5.800    0.030   13.220   77.730   911.707
   100   2048   2048   2048      8589934592 T    1  512        6.000    0.020   10.300  154.270   918.739
    50   2048   2048   2048      8589934592 F    1  512        3.280    0.030   12.140   90.580   782.369
   100   2048   2048   2048      8589934592 F    1  512        3.340    0.030    3.550  154.300   918.561
    50   2560   2560   2560     16777216000 T    1  512       13.120    0.050   17.790  150.720   945.215
   100   2560   2560   2560     16777216000 T    1  512       12.990    0.060    7.730  300.080   949.499
    50   2560   2560   2560     16777216000 F    1  512        7.890    0.050   12.890  148.250   960.963
   100   2560   2560   2560     16777216000 F    1  512        8.080    0.050   17.000  292.720   973.373
    50   3072   3072   3072     28991029248 T    1  512       20.950    0.090   27.160  257.100   979.755
   100   3072   3072   3072     28991029248 T    1  512       21.180    0.090   26.980  504.870   997.861
    50   3072   3072   3072     28991029248 F    1  512       14.460    0.090   28.040  250.470  1005.689
   100   3072   3072   3072     28991029248 F    1  512       14.420    0.090   25.800  498.170  1011.281
    10   4096   4096   4096     68719476736 T    1  512       15.180    0.220   30.900  158.000   782.880
    20   4096   4096   4096     68719476736 T    1  512       15.140    0.210   33.310  295.580   836.965
    10   4096   4096   4096     68719476736 F    1  512        9.620    0.210   50.890  152.420   811.541
    20   4096   4096   4096     68719476736 F    1  512        9.590    0.220   94.170  289.990   853.099
    10   5120   5120   5120    134217728000 T    1  512       46.780    0.420  100.180  252.970   980.643
    20   5120   5120   5120    134217728000 T    1  512       46.680    0.420   61.040  550.030   902.035
