#  it.    Lx     Ly     Lz        N      place  th. proc.     t_plan   t_prep   t_dmmy   t_calc  GFLOPS
    20   2048   2048   2048      8589934592 T    1 2048        5.584    0.020   77.488   22.095  1282.950
    40   2048   2048   2048      8589934592 T    1 2048        5.593    0.020   43.969   44.533  1273.069
   100   2048   2048   2048      8589934592 T    1 2048        5.594    0.019   59.763  110.606  1281.431
   200   2048   2048   2048      8589934592 T    1 2048        5.572    0.020   51.141  230.438  1230.126
    20   2048   2048   2048      8589934592 F    1 2048        4.577    0.020   81.555   22.840  1241.103
    40   2048   2048   2048      8589934592 F    1 2048        4.503    0.020   64.067   42.459  1335.254
   100   2048   2048   2048      8589934592 F    1 2048        4.532    0.019   65.577  109.864  1290.085
   200   2048   2048   2048      8589934592 F    1 2048        4.520    0.019   58.689  226.261  1252.836
    20   4096   4096   4096     68719476736 T    1 2048       18.899    0.154  106.653  263.627   938.410
    40   4096   4096   4096     68719476736 T    1 2048       18.879    0.153  111.727  526.976   938.905
   100   4096   4096   4096     68719476736 T    1 2048       18.785    0.154   97.839 1342.047   921.689
   200   4096   4096   4096     68719476736 T    1 2048       19.101    0.155  113.038 2808.972   880.714
    20   4096   4096   4096     68719476736 F    1 2048       14.788    0.151  122.643  299.877   824.972
    40   4096   4096   4096     68719476736 F    1 2048       14.345    0.154  119.709  592.705   834.783
   100   4096   4096   4096     68719476736 F    1 2048       14.345    0.154  104.024 1487.081   831.798
   200   4096   4096   4096     68719476736 F    1 2048       14.347    0.155  120.781 2992.709   826.643
