# htcf01c03p03
#  it.    Lx     Ly     Lz        N      place  th. proc.     t_plan   t_prep   t_itr0   t_calc  GFLOPS
   100    640    640    640       262144000 T    1   64        2.560    0.010    1.360   26.230   139.746
   200    640    640    640       262144000 T    1   64        2.460    0.000    1.380   52.280   140.227
   100    640    640    640       262144000 F    1   64        1.890    0.010    1.820   26.030   140.819
   200    640    640    640       262144000 F    1   64        1.900    0.010    1.930   52.030   140.901
    50   1024   1024   1024      1073741824 T    1   64        7.670    0.030    1.540   55.880   144.114
   100   1024   1024   1024      1073741824 T    1   64        7.660    0.020    2.680  111.810   144.049
    50   1024   1024   1024      1073741824 F    1   64        5.380    0.030    4.130   56.810   141.754
   100   1024   1024   1024      1073741824 F    1   64        5.420    0.030    5.730  113.530   141.867
    50   1280   1280   1280      2097152000 T    1   64       17.750    0.060    6.080  112.010   144.942
   100   1280   1280   1280      2097152000 T    1   64       17.780    0.050    8.610  224.170   144.845
    50   1280   1280   1280      2097152000 F    1   64       13.030    0.060   11.270  113.140   143.495
   100   1280   1280   1280      2097152000 F    1   64       13.040    0.050   15.220  226.200   143.545
    10   2048   2048   2048      8589934592 T    1   64       28.970    0.220   11.290  100.940   140.414
    20   2048   2048   2048      8589934592 T    1   64       28.960    0.220   15.770  201.720   140.525
    10   2048   2048   2048      8589934592 F    1   64       20.900    0.220   16.960  100.400   141.169
    20   2048   2048   2048      8589934592 F    1   64       20.920    0.220   23.030  200.820   141.155
    10   2560   2560   2560     16777216000 T    1   64       45.580    0.420   50.050  197.400   144.339
    20   2560   2560   2560     16777216000 T    1   64       45.560    0.420   26.490  394.570   144.423
