#  it.    Lx     Ly     Lz        N      place  th. proc.     t_plan   t_prep   t_itr0   t_calc  GFLOPS
    20   1024   1024   1024      1073741824 T    1  256        3.523    0.019    0.806   18.266   176.351
    40   1024   1024   1024      1073741824 T    1  256        3.519    0.019    0.797   34.535   186.548
    20   1024   1024   1024      1073741824 F    1  256        2.589    0.018    0.835   19.332   166.627
    40   1024   1024   1024      1073741824 F    1  256        2.586    0.017    0.838   36.240   177.772
    20   1280   1280   1280      2097152000 T    1  256        8.294    0.038    1.487   30.677   211.689
    40   1280   1280   1280      2097152000 T    1  256        8.294    0.038    1.486   64.340   201.865
    20   1280   1280   1280      2097152000 F    1  256        6.361    0.038    1.548   33.576   193.412
    40   1280   1280   1280      2097152000 F    1  256        6.372    0.038    1.546   66.575   195.088
    10   2048   2048   2048      8589934592 T    1  256       17.250    0.157    6.886   70.613   200.719
    20   2048   2048   2048      8589934592 T    1  256       17.264    0.157    6.863  139.327   203.455
    10   2048   2048   2048      8589934592 F    1  256       10.360    0.156    7.306   74.626   189.926
    20   2048   2048   2048      8589934592 F    1  256       10.705    0.157    7.311  149.082   190.142
    10   2560   2560   2560     16777216000 T    1  256       45.748    0.306   13.660  136.194   209.206
    20   2560   2560   2560     16777216000 T    1  256       45.689    0.304   13.524  268.681   212.092
    10   2560   2560   2560     16777216000 F    1  256       37.610    0.305   14.041  146.711   194.209
